Campaign performance
"October 22, 2025 - April 23, 2026"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (rank),Search lost IS (budget)
Sales-Search-1,Enabled,Search,2025-12-13,8,48,16.67%,USD,4.29,34.32,10.53%,84.21%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-25,8,121,6.61%,USD,5.76,46.06,17.05%,72.73%,0.00,0,0,0.00%,12.22%,87.78%,0.00%
Sales-Search-1,Enabled,Search,2026-01-01,8,212,3.77%,USD,5.25,41.98,13.50%,57.67%,1.00,0,41.98,12.50%,14.83%,85.17%,0.00%
Sales-Search-1,Enabled,Search,2026-01-04,8,118,6.78%,USD,4.83,38.66,9.68%,77.42%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-23,8,113,7.08%,USD,6.78,54.25,16.67%,71.43%,0.00,0,0,0.00%,18.42%,81.58%,0.00%
Sales-Search-1,Enabled,Search,2026-02-05,8,97,8.25%,USD,8.55,68.40,6.49%,83.12%,0.00,0,0,0.00%,17.45%,82.55%,0.00%
Sales-Search-1,Enabled,Search,2026-02-18,8,95,8.42%,USD,11.64,93.13,14.47%,81.58%,0.00,0,0,0.00%,16.99%,83.01%,0.00%
Sales-Search-1,Enabled,Search,2026-02-22,8,59,13.56%,USD,11.99,95.94,7.84%,86.27%,0.00,0,0,0.00%,22.47%,77.53%,0.00%
Sales-Search-1,Enabled,Search,2026-03-07,8,148,5.41%,USD,5.73,45.86,30.10%,79.61%,0.00,0,0,0.00%,29.77%,70.23%,0.00%
Sales-Search-1,Enabled,Search,2026-03-24,8,122,6.56%,USD,7.00,56.03,17.58%,76.92%,2.00,0,28.01,25.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-01,8,144,5.56%,USD,7.25,58.03,12.84%,77.98%,1.50,0,38.69,18.75%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-05,7,100,7.00%,USD,5.46,38.22,10.98%,75.61%,0.33,0,116.05,4.70%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-09,7,109,6.42%,USD,6.70,46.93,31.46%,70.79%,1.00,0,46.93,14.29%,12.16%,87.84%,0.00%
Sales-Search-1,Enabled,Search,2025-12-06,7,64,10.94%,USD,6.76,47.35,13.46%,90.38%,0.50,0,95.26,7.10%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-11,7,146,4.79%,USD,8.28,57.98,8.11%,73.87%,1.00,0,57.98,14.29%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-16,7,102,6.86%,USD,5.41,37.85,10.13%,64.56%,2.00,0,18.92,28.57%,31.23%,68.77%,0.00%
Sales-Search-1,Enabled,Search,2026-01-29,7,99,7.07%,USD,6.46,45.21,9.21%,76.32%,1.00,0,45.21,14.29%,17.59%,82.41%,0.00%
Sales-Search-1,Enabled,Search,2026-02-13,7,83,8.43%,USD,8.20,57.42,15.38%,78.46%,2.00,0,28.71,28.57%,18.64%,81.36%,0.00%
Sales-Search-1,Enabled,Search,2026-02-17,7,125,5.60%,USD,7.13,49.91,9.28%,86.60%,0.00,0,0,0.00%,18.98%,81.02%,0.00%
Sales-Search-1,Enabled,Search,2026-03-04,7,196,3.57%,USD,7.59,53.15,12.50%,81.94%,1.00,0,53.15,14.29%,33.26%,66.74%,0.00%
Sales-Search-1,Enabled,Search,2026-03-05,7,174,4.02%,USD,4.47,31.27,13.53%,78.95%,0.00,0,0,0.00%,32.21%,67.79%,0.00%
Sales-Search-1,Enabled,Search,2026-03-10,7,48,14.58%,USD,9.37,65.57,7.50%,85.00%,1.00,0,65.57,14.29%,11.97%,88.03%,0.00%
Sales-Search-1,Enabled,Search,2026-03-29,7,79,8.86%,USD,6.41,44.84,16.13%,82.26%,1.00,0,44.84,14.29%,11.17%,88.83%,0.00%
Sales-Search-1,Enabled,Search,2026-04-19,7,128,5.47%,USD,16.40,114.79,17.78%,96.67%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-10,6,112,5.36%,USD,7.30,43.82,17.58%,73.63%,0.00,0,0,0.00%,10.83%,89.17%,0.00%
Sales-Search-1,Enabled,Search,2025-12-21,6,118,5.08%,USD,9.07,54.43,21.84%,79.31%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-10,6,99,6.06%,USD,6.69,40.16,2.67%,73.33%,0.00,0,0,0.00%,11.77%,88.23%,0.00%
Sales-Search-1,Enabled,Search,2026-01-14,6,101,5.94%,USD,5.72,34.30,9.33%,73.33%,0.00,0,0,0.00%,25.25%,74.75%,0.00%
Sales-Search-1,Enabled,Search,2026-01-26,6,120,5.00%,USD,6.96,41.76,5.43%,82.61%,0.00,0,0,0.00%,22.52%,77.48%,0.00%
Sales-Search-1,Enabled,Search,2026-02-06,6,76,7.89%,USD,8.52,51.09,21.05%,87.72%,3.00,0,17.03,50.00%,17.07%,82.93%,0.00%
Sales-Search-1,Enabled,Search,2026-03-08,6,71,8.45%,USD,6.47,38.81,22.22%,75.93%,0.00,0,0,0.00%,21.34%,78.66%,0.00%
Sales-Search-1,Enabled,Search,2026-03-16,6,77,7.79%,USD,8.64,51.86,12.90%,79.03%,0.50,0,103.73,8.33%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-18,6,83,7.23%,USD,5.51,33.05,7.69%,83.08%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-27,6,96,6.25%,USD,4.71,28.27,13.51%,85.14%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-10-26,5,23,21.74%,USD,1.68,8.39,12.50%,81.25%,0.00,0,0,0.00%,10.00%,90.00%,0.00%
Sales-Search-1,Enabled,Search,2025-11-28,5,96,5.21%,USD,4.70,23.52,17.14%,78.57%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-14,5,69,7.25%,USD,5.86,29.30,12.50%,67.86%,5.00,0,5.86,100.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-11,5,70,7.14%,USD,2.85,14.27,10.71%,69.64%,0.00,0,0,0.00%,10.05%,89.95%,0.00%
Sales-Search-1,Enabled,Search,2026-01-18,5,105,4.76%,USD,5.78,28.89,14.67%,72.00%,0.00,0,0,0.00%,41.90%,58.10%,0.00%
Sales-Search-1,Enabled,Search,2026-01-24,5,44,11.36%,USD,11.24,56.22,7.50%,80.00%,3.00,0,18.74,60.00%,17.09%,82.91%,0.00%
Sales-Search-1,Enabled,Search,2026-02-11,5,94,5.32%,USD,6.00,30.02,13.89%,73.61%,0.00,0,0,0.00%,16.25%,83.75%,0.00%
Sales-Search-1,Enabled,Search,2026-02-14,5,55,9.09%,USD,6.11,30.56,12.20%,92.68%,0.00,0,0,0.00%,21.39%,78.61%,0.00%
Sales-Search-1,Enabled,Search,2026-02-24,5,49,10.20%,USD,10.81,54.04,5.00%,77.50%,2.00,0,27.02,40.00%,11.46%,88.54%,0.00%
Sales-Search-1,Enabled,Search,2026-02-25,5,40,12.50%,USD,7.19,35.93,6.25%,87.50%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-02,5,48,10.42%,USD,2.93,14.63,9.52%,88.10%,0.00,0,0,0.00%,11.97%,88.03%,0.00%
Sales-Search-1,Enabled,Search,2026-04-03,5,109,4.59%,USD,4.99,24.94,23.08%,76.92%,1.00,0,24.94,20.00%,11.19%,88.81%,0.00%
Sales-Search-1,Enabled,Search,2025-11-16,4,58,6.90%,USD,5.68,22.72,8.16%,77.55%,1.00,0,22.72,25.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2025-11-30,4,103,3.88%,USD,3.39,13.57,18.07%,75.90%,1.00,0,13.57,25.00%,12.10%,87.90%,0.00%
Sales-Search-1,Enabled,Search,2025-12-04,4,113,3.54%,USD,4.72,18.88,9.78%,77.17%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-01-22,4,77,5.19%,USD,5.51,22.02,6.78%,69.49%,0.50,0,44.04,12.50%,16.43%,83.57%,0.00%
Sales-Search-1,Enabled,Search,2026-02-07,4,60,6.67%,USD,5.49,21.97,5.88%,84.31%,1.00,0,21.97,25.00%,21.89%,78.11%,0.00%
Sales-Search-1,Enabled,Search,2026-02-15,4,47,8.51%,USD,13.99,55.97,7.89%,97.37%,0.00,0,0,0.00%,15.79%,84.21%,0.00%
Sales-Search-1,Enabled,Search,2026-03-11,4,51,7.84%,USD,6.51,26.04,9.76%,82.93%,1.00,0,26.04,25.00%,10.28%,89.72%,0.00%
Sales-Search-1,Enabled,Search,2026-03-12,4,42,9.52%,USD,5.68,22.70,8.33%,88.89%,0.00,0,0,0.00%,11.18%,88.82%,0.00%
Sales-Search-1,Enabled,Search,2026-03-13,4,49,8.16%,USD,4.95,19.80,12.20%,80.49%,1.00,0,19.80,25.00%,11.00%,89.00%,0.00%
Sales-Search-1,Enabled,Search,2026-03-14,4,43,9.30%,USD,4.35,17.41,9.76%,90.24%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-22,4,62,6.45%,USD,6.13,24.51,14.00%,72.00%,2.00,0,12.26,50.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-03-28,4,66,6.06%,USD,4.22,16.87,17.02%,89.36%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-04-05,4,90,4.44%,USD,9.32,37.27,20.97%,98.39%,1.50,0,24.85,37.50%,11.98%,88.02%,0.00%
Sales-Search-1,Enabled,Search,2025-10-23,3,21,14.29%,USD,3.10,9.31,19.05%,76.19%,0.00,0,0,0.00%,< 10%,8.22%,82.19%
Sales-Search-1,Enabled,Search,2025-10-25,3,43,6.98%,USD,1.92,5.75,14.29%,76.19%,0.00,0,0,0.00%,18.83%,15.70%,65.47%
Sales-Search-1,Enabled,Search,2025-12-28,3,91,3.30%,USD,4.71,14.12,15.15%,83.33%,0.00,0,0,0.00%,< 10%,> 90%,0.00%
Sales-Search-1,Enabled,Search,2026-02-01,3,56,5.36%,USD,7.42,22.25,11.36%,77.27%,0.00,0,0,0.00%,16.86%,83.14%,0.00%
