segments.date,segments.hour,campaign.name,campaign.status,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-04-14,16,Sales-Search-1,ENABLED,8,1,0.125,2820000.0,2820000,0.0,0.3333333333333333,1.0
2026-04-14,17,Sales-Search-1,ENABLED,17,0,0.0,0.0,0,0.0,0.23076923076923078,0.7692307692307693
2026-04-14,18,Sales-Search-1,ENABLED,11,1,0.09090909090909091,6350000.0,6350000,0.0,0.2857142857142857,0.7142857142857143
2026-04-14,19,Sales-Search-1,ENABLED,15,0,0.0,0.0,0,0.0,0.3333333333333333,0.75
2026-04-14,20,Sales-Search-1,ENABLED,12,0,0.0,0.0,0,0.0,0.0,0.875
2026-04-14,21,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.25,0.75
2026-04-14,22,Sales-Search-1,ENABLED,13,0,0.0,0.0,0,0.0,0.4444444444444444,0.7777777777777778
2026-04-14,23,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.25,0.75
2026-04-15,0,Sales-Search-1,ENABLED,2,1,0.5,2730000.0,2730000,0.0,1.0,1.0
2026-04-15,1,Sales-Search-1,ENABLED,2,1,0.5,5617121.0,5617121,0.0,1.0,1.0
2026-04-15,5,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-15,6,Sales-Search-1,ENABLED,2,1,0.5,3020000.0,3020000,0.0,1.0,1.0
2026-04-15,7,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-15,8,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.2,1.0
2026-04-15,9,Sales-Search-1,ENABLED,13,1,0.07692307692307693,2810000.0,2810000,0.0,0.25,1.0
2026-04-15,10,Sales-Search-1,ENABLED,21,1,0.047619047619047616,3002240.0,3002240,0.0,0.2,0.8
2026-04-15,11,Sales-Search-1,ENABLED,36,5,0.1388888888888889,16134000.0,80670000,0.0,0.3333333333333333,0.9047619047619048
2026-04-15,12,Sales-Search-1,ENABLED,18,2,0.1111111111111111,10625000.0,21250000,0.0,0.2727272727272727,1.0
2026-04-15,13,Sales-Search-1,ENABLED,30,1,0.03333333333333333,5770000.0,5770000,0.0,0.2857142857142857,0.8571428571428571
2026-04-15,14,Sales-Search-1,ENABLED,12,2,0.16666666666666666,14560000.0,29120000,1.0,0.16666666666666666,0.9166666666666666
2026-04-15,15,Sales-Search-1,ENABLED,15,0,0.0,0.0,0,0.0,0.15384615384615385,0.6923076923076923
2026-04-15,16,Sales-Search-1,ENABLED,12,0,0.0,0.0,0,0.0,0.125,1.0
2026-04-15,17,Sales-Search-1,ENABLED,17,2,0.11764705882352941,8170000.0,16340000,0.0,0.16666666666666666,0.9166666666666666
2026-04-15,18,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-15,19,Sales-Search-1,ENABLED,18,1,0.05555555555555555,14170000.0,14170000,0.0,0.2,0.8666666666666667
2026-04-15,20,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.0,0.8
2026-04-15,21,Sales-Search-1,ENABLED,27,1,0.037037037037037035,2160000.0,2160000,0.0,0.4375,0.9375
2026-04-15,22,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.5,1.0
2026-04-15,23,Sales-Search-1,ENABLED,3,1,0.3333333333333333,2150000.0,2150000,0.0,0.0,1.0
2026-04-16,0,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-16,1,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-16,2,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-16,3,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-16,4,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-16,5,Sales-Search-1,ENABLED,4,1,0.25,1120000.0,1120000,0.0,0.0,1.0
2026-04-16,6,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-16,7,Sales-Search-1,ENABLED,5,2,0.4,5270000.0,10540000,0.0,0.0,0.6
2026-04-16,8,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.2,1.0
2026-04-16,9,Sales-Search-1,ENABLED,12,0,0.0,0.0,0,0.0,0.14285714285714285,0.7142857142857143
2026-04-16,10,Sales-Search-1,ENABLED,34,1,0.029411764705882353,19910000.0,19910000,0.0,0.45,0.85
2026-04-16,11,Sales-Search-1,ENABLED,16,0,0.0,0.0,0,0.0,0.4,0.9
2026-04-16,12,Sales-Search-1,ENABLED,13,0,0.0,0.0,0,0.0,0.2,0.9
2026-04-16,13,Sales-Search-1,ENABLED,16,2,0.125,9085000.0,18170000,0.0,0.25,0.8333333333333334
2026-04-16,14,Sales-Search-1,ENABLED,18,2,0.1111111111111111,17165000.0,34330000,0.0,0.15384615384615385,0.8461538461538461
2026-04-16,15,Sales-Search-1,ENABLED,21,0,0.0,0.0,0,0.0,0.25,0.8125
2026-04-16,16,Sales-Search-1,ENABLED,15,1,0.06666666666666667,12780000.0,12780000,0.0,0.2727272727272727,0.6363636363636364
2026-04-16,17,Sales-Search-1,ENABLED,10,1,0.1,11050000.0,11050000,0.0,0.42857142857142855,0.7142857142857143
2026-04-16,18,Sales-Search-1,ENABLED,16,3,0.1875,8843333.333333334,26530000,0.0,0.1,0.9
2026-04-16,19,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.2,1.0
2026-04-16,20,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-16,21,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-16,22,Sales-Search-1,ENABLED,13,0,0.0,0.0,0,0.0,0.25,0.875
2026-04-16,23,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-17,0,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.25,0.5
2026-04-17,1,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.6666666666666666,0.6666666666666666
2026-04-17,2,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-17,3,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-17,6,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-17,7,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.25,0.75
2026-04-17,8,Sales-Search-1,ENABLED,20,1,0.05,5570000.0,5570000,0.0,0.3333333333333333,0.9166666666666666
2026-04-17,9,Sales-Search-1,ENABLED,12,1,0.08333333333333333,7440000.0,7440000,0.0,0.125,0.75
2026-04-17,10,Sales-Search-1,ENABLED,25,0,0.0,0.0,0,0.0,0.29411764705882354,0.9411764705882353
2026-04-17,11,Sales-Search-1,ENABLED,27,1,0.037037037037037035,4270000.0,4270000,0.0,0.3333333333333333,0.8333333333333334
2026-04-17,12,Sales-Search-1,ENABLED,16,2,0.125,9220000.0,18440000,1.0,0.16666666666666666,1.0
2026-04-17,13,Sales-Search-1,ENABLED,21,0,0.0,0.0,0,0.0,0.42857142857142855,0.8571428571428571
2026-04-17,14,Sales-Search-1,ENABLED,30,1,0.03333333333333333,8323969.0,8323969,0.0,0.25,0.85
2026-04-17,15,Sales-Search-1,ENABLED,12,0,0.0,0.0,0,0.0,0.5714285714285714,1.0
2026-04-17,16,Sales-Search-1,ENABLED,7,1,0.14285714285714285,4410000.0,4410000,0.0,0.16666666666666666,0.6666666666666666
2026-04-17,17,Sales-Search-1,ENABLED,16,1,0.0625,16010000.0,16010000,0.0,0.4444444444444444,0.8888888888888888
2026-04-17,18,Sales-Search-1,ENABLED,8,3,0.375,15160000.0,45480000,0.0,0.5,1.0
2026-04-17,19,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-17,20,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-17,21,Sales-Search-1,ENABLED,7,0,0.0,0.0,0,0.0,0.0,0.6
2026-04-17,22,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-17,23,Sales-Search-1,ENABLED,11,0,0.0,0.0,0,0.0,0.6,1.0
2026-04-18,0,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-18,1,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-18,2,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-18,3,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-18,6,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,0.3333333333333333
2026-04-18,7,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,0.0
2026-04-18,8,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-18,9,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.3333333333333333,0.6666666666666666
2026-04-18,10,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,1.0
